fecha;provincia;siglas;grupo_edad;hombres;mujeres;tasa_hombres_x1000;tasa_mujeres_x1000;enfermos
2025-11-12;Ávila;AV;0-9;2373;2160;408.0825451;404.5701442;4533
2025-11-12;Burgos;BU;0-9;5619;5155;394.2051354;383.2713755;10774
2025-11-12;Palencia;PA;0-9;2829;2615;504.8179872;500.670113;5444
2025-11-12;Segovia;SE;0-9;2518;2404;424.4774107;427.9102884;4922
2025-11-12;Soria;SO;0-9;1499;1412;444.2797866;436.3411619;2911
2025-11-12;Zamora;ZA;0-9;2220;2009;454.0805891;447.8377173;4229
2025-11-12;Castilla y León;CyL;0-9;37224;34739;429.8184841;426.6222921;71963
2025-11-12;Ávila;AV;10-19;3092;2973;443.297491;457.1736122;6065
2025-11-12;León;LE;10-19;7575;7605;443.9950765;467.6258993;15180
2025-11-12;Salamanca;SA;10-19;6363;6674;449.8409332;486.0888565;13037
2025-11-12;Segovia;SE;10-19;3122;3020;430.2646086;438.3164006;6142
2025-11-12;Valladolid;VA;10-19;10558;10746;428.0385956;460.1747174;21304
2025-11-12;Zamora;ZA;10-19;2933;2987;506.3881215;532.2523165;5920
2025-11-12;Ávila;AV;20-29;2965;3249;415.149818;492.421946;6214
2025-11-12;León;LE;20-29;7755;8620;420.53034;499.9420021;16375
2025-11-12;Salamanca;SA;20-29;7444;8525;456.6871166;492.3192423;15969
2025-11-12;Zamora;ZA;20-29;2867;3072;431.5171583;502.617801;5939
2025-11-12;Burgos;BU;30-39;8692;9960;416.9024893;498.0747112;18652
2025-11-12;León;LE;30-39;9249;11991;378.8865675;488.5312691;21240
2025-11-12;Segovia;SE;30-39;3526;4108;396.5362123;467.1898101;7634
2025-11-12;Burgos;BU;40-49;11388;13378;399.60699;494.6570531;24766
2025-11-12;León;LE;40-49;12037;15902;376.3444222;485.9133411;27939
2025-11-12;Palencia;PA;40-49;5065;6126;446.2948277;555.6966618;11191
2025-11-12;Salamanca;SA;40-49;8362;10959;367.0763828;465.4293723;19321
2025-11-12;Segovia;SE;40-49;4348;5373;382.1745627;466.4467402;9721
2025-11-12;Zamora;ZA;40-49;4388;5948;398.4020338;548.3543837;10336
2025-11-12;Burgos;BU;50-59;9837;12224;352.3533204;457.6391749;22061
2025-11-12;Palencia;PA;50-59;4833;6066;380.4912612;498.4797436;10899
2025-11-12;Soria;SO;50-59;2394;3077;327.9901356;480.5559894;5471
2025-11-12;Zamora;ZA;50-59;4658;5974;361.8988424;479.338843;10632
2025-11-12;Ávila;AV;60-69;3934;4553;389.8523437;503.9291644;8487
2025-11-12;Burgos;BU;60-69;7793;9106;334.3056926;419.7473956;16899
2025-11-12;León;LE;60-69;10828;13515;357.725726;449.6007984;24343
2025-11-12;Ávila;AV;70-79;3223;3814;454.9689441;501.5781168;7037
2025-11-12;León;LE;70-79;8745;10786;418.6614324;435.358224;19531
2025-11-12;Palencia;PA;70-79;3612;3900;485.4186265;495.2380952;7512
2025-11-12;Zamora;ZA;70-79;3853;4381;437.1950528;442.9726997;8234
2025-11-12;Castilla y León;CyL;70-79;45333;53357;415.3655855;435.1481838;98690
2025-11-12;Salamanca;SA;>80;6512;9892;523.8516612;495.5415289;16404
2025-11-12;Soria;SO;>80;2016;3095;552.3287671;544.4151275;5111
2025-11-12;Valladolid;VA;0-9;9029;8441;427.5702041;421.1865675;17470
2025-11-12;Palencia;PA;10-19;3247;3177;516.8736071;536.746072;6424
2025-11-12;Castilla y León;CyL;10-19;45842;45915;448.0476958;471.9977796;91757
2025-11-12;Burgos;BU;20-29;7352;7721;459.040959;515.1110815;15073
2025-11-12;Palencia;PA;20-29;3293;3429;479.6795339;524.552547;6722
2025-11-12;Soria;SO;20-29;1954;2090;443.7883261;508.6395717;4044
2025-11-12;Valladolid;VA;20-29;10582;11853;440.586227;504.3400562;22435
2025-11-12;Valladolid;VA;30-39;12315;15203;393.4253402;486.5427081;27518
2025-11-12;Soria;SO;40-49;2653;3155;391.9338159;507.6427997;5808
2025-11-12;Valladolid;VA;40-49;17228;20948;383.8595397;478.1665868;38176
2025-11-12;Ávila;AV;50-59;4087;5440;343.0705951;469.4511564;9527
2025-11-12;León;LE;50-59;11618;15699;332.5128792;440.5005752;27317
2025-11-12;Segovia;SE;50-59;4185;5249;358.0289161;454.498225;9434
2025-11-12;Valladolid;VA;50-59;14548;18726;368.5183778;463.8937746;33274
2025-11-12;Castilla y León;CyL;50-59;64679;83779;352.1651303;459.8340231;148458
2025-11-12;Castilla y León;CyL;60-69;55575;67648;364.7563041;452.637284;123223
2025-11-12;Burgos;BU;70-79;6032;6678;370.8576698;388.6625538;12710
2025-11-12;Ávila;AV;>80;3242;4834;547.0806615;535.9795986;8076
2025-11-12;Burgos;BU;>80;5274;8744;478.4975504;470.208647;14018
2025-11-12;León;LE;>80;8446;13346;488.4057133;451.1679794;21792
2025-11-12;Valladolid;VA;>80;7355;11970;536.4697301;514.0206982;19325
2025-11-12;Castilla y León;CyL;>80;42384;66825;519.106408;492.8533499;109209
2025-11-12;León;LE;0-9;6277;5937;434.996535;442.3994039;12214
2025-11-12;Salamanca;SA;0-9;4860;4606;434.3551703;433.9142723;9466
2025-11-12;Burgos;BU;10-19;7081;6869;437.7202201;448.8369054;13950
2025-11-12;Soria;SO;10-19;1871;1864;472.3554658;503.1039136;3735
2025-11-12;Segovia;SE;20-29;3388;3602;439.2583949;500.4863137;6990
2025-11-12;Castilla y León;CyL;20-29;47600;52161;442.6177679;503.4748364;99761
2025-11-12;Ávila;AV;30-39;3280;4103;394.9428055;501.6505685;7383
2025-11-12;Palencia;PA;30-39;4092;4639;443.0009743;538.1670534;8731
2025-11-12;Salamanca;SA;30-39;6955;8691;383.4279729;467.2078271;15646
2025-11-12;Soria;SO;30-39;2120;2572;400.6046863;519.5959596;4692
2025-11-12;Zamora;ZA;30-39;3406;4172;397.5256769;530.7212823;7578
2025-11-12;Castilla y León;CyL;30-39;53635;65439;397.3110115;492.7858186;119074
2025-11-12;Ávila;AV;40-49;4276;5383;391.3242427;502.6143791;9659
2025-11-12;Castilla y León;CyL;40-49;69745;87172;388.3806013;491.2731556;156917
2025-11-12;Salamanca;SA;50-59;8519;11324;342.7893127;447.500494;19843
2025-11-12;Palencia;PA;60-69;4658;5426;399.451162;501.3860654;10084
2025-11-12;Salamanca;SA;60-69;7380;9116;367.9146518;446.1192131;16496
2025-11-12;Segovia;SE;60-69;3297;3744;375.0853242;460.2335587;7041
2025-11-12;Soria;SO;60-69;2164;2436;398.2333456;496.2314117;4600
2025-11-12;Valladolid;VA;60-69;11024;14409;353.8550427;428.2784449;25433
2025-11-12;Zamora;ZA;60-69;4497;5343;387.9064953;498.4141791;9840
2025-11-12;Salamanca;SA;70-79;6063;7476;404.5506105;426.1528815;13539
2025-11-12;Segovia;SE;70-79;2452;2708;432.2228098;432.2426177;5160
2025-11-12;Soria;SO;70-79;1839;2000;456.780924;492.8536225;3839
2025-11-12;Valladolid;VA;70-79;9514;11614;397.0287527;423.4667833;21128
2025-11-12;Palencia;PA;>80;2996;5101;600.2805049;563.2107762;8097
2025-11-12;Segovia;SE;>80;2449;3820;510.3146489;477.3210046;6269
2025-11-12;Zamora;ZA;>80;4094;6023;523.1280348;485.804162;10117
2025-10-21;Palencia;PA;0-9;2828;2616;504.6395432;500.8615738;5444
2025-10-21;Segovia;SE;10-19;3122;3020;430.2646086;438.3164006;6142
2025-10-21;Burgos;BU;20-29;7353;7719;459.1033966;514.9776503;15072
2025-10-21;Salamanca;SA;20-29;7443;8525;456.6257669;492.3192423;15968
2025-10-21;Zamora;ZA;20-29;2868;3072;431.6676701;502.617801;5940
2025-10-21;Castilla y León;CyL;20-29;47602;52156;442.6363653;503.4265748;99758
2025-10-21;Segovia;SE;30-39;3527;4108;396.648673;467.1898101;7635
2025-10-21;Castilla y León;CyL;30-39;53630;65433;397.2739731;492.7406359;119063
2025-10-21;Ávila;AV;40-49;4276;5382;391.3242427;502.5210084;9658
2025-10-21;Palencia;PA;40-49;5065;6124;446.2948277;555.5152395;11189
2025-10-21;Salamanca;SA;40-49;8361;10962;367.0324846;465.5567825;19323
2025-10-21;Zamora;ZA;40-49;4389;5949;398.4928273;548.4465751;10338
2025-10-21;Ávila;AV;50-59;4087;5442;343.0705951;469.6237487;9529
2025-10-21;Burgos;BU;50-59;9836;12225;352.3175013;457.6766126;22061
2025-10-21;Segovia;SE;50-59;4185;5247;358.0289161;454.3250498;9432
2025-10-21;León;LE;60-69;10826;13516;357.6596518;449.6340652;24342
2025-10-21;Palencia;PA;60-69;4658;5424;399.451162;501.2012567;10082
2025-10-21;Segovia;SE;60-69;3296;3743;374.9715586;460.1106331;7039
2025-10-21;Soria;SO;60-69;2163;2434;398.0493191;495.8239967;4597
2025-10-21;Zamora;ZA;60-69;4502;5341;388.33779;498.2276119;9843
2025-10-21;León;LE;70-79;8745;10780;418.6614324;435.1160444;19525
